date,avg_temp_c,min_temp_c,max_temp_c,demand_mwh
2026-06-01,31.936489260143198,31.5268,32.1048,4684.125
2026-06-02,33.80657780429594,33.7031,33.8477,5142.75
2026-06-03,33.392585918854415,33.2798,33.5409,5165.041666666667
2026-06-04,34.5912291169451,34.4352,34.7823,5809.583333333333
2026-06-05,35.15126539379475,35.11,35.2163,5860.25
2026-06-06,33.96345966587111,33.8499,33.9961,5062.833333333333
2026-06-07,34.026710978520285,33.9208,34.0637,4837.291666666667
2026-06-08,33.223336038186154,32.9542,33.3764,5341.833333333333
2026-06-09,32.84571408114559,32.6021,33.0357,4723.0
2026-06-10,33.5506446300716,33.3164,33.7186,5241.375
2026-06-11,35.175621718377094,35.0085,35.3284,5639.166666666667
2026-06-12,36.53844653937947,36.4373,36.6294,6488.791666666667
2026-06-13,37.1668737470167,37.1562,37.1801,6013.416666666667
2026-06-14,37.49951813842482,37.4718,37.5235,6270.666666666667
2026-06-15,37.13945011933174,37.0181,37.2257,6005.208333333333
2026-06-16,37.8251830548926,37.7735,37.855,6079.916666666667
2026-06-17,37.61536730310262,37.4911,37.6785,6345.791666666667
2026-06-18,35.933306205250595,35.8147,36.0485,5894.583333333333
2026-06-19,35.22102792362769,35.0872,35.2864,5527.208333333333
2026-06-20,34.30141646778043,34.1206,34.3954,5174.208333333333
2026-06-21,33.771057995226734,33.3805,33.9471,4968.666666666667
2026-06-22,35.04232696897375,34.6169,35.2336,5370.625
2026-06-23,37.33669093078759,37.1608,37.4056,6514.708333333333
2026-06-24,37.70978257756563,37.5771,37.8235,6393.75
2026-06-25,37.931467541766104,37.8142,37.967,6037.583333333333
2026-06-26,37.69388735083532,37.6372,37.7104,6095.583333333333
2026-06-27,35.848264916467784,35.75,35.9071,5577.083333333333
2026-06-28,34.26745894988067,34.2002,34.3051,5182.041666666667
2026-06-29,33.538979952267304,33.2079,33.6888,4897.791666666667
2026-06-30,32.13388066825775,31.9293,32.2081,5012.458333333333
2026-07-01,31.580320525059665,31.5054,31.6199,4856.583333333333
2026-07-02,32.37387326968974,32.2409,32.4209,4988.333333333333
2026-07-03,33.57100214797136,33.2316,33.813,4958.958333333333
2026-07-04,34.878384725536996,34.7224,34.9865,5361.458333333333
2026-07-05,36.57919260143198,36.5259,36.637,5360.333333333333
2026-07-06,37.885581384248205,37.8104,37.9251,6670.916666666667
2026-07-07,38.17398663484487,38.1118,38.23,6776.125
2026-07-08,38.492860620525065,38.4228,38.5248,6826.958333333333
2026-07-09,38.55537613365155,38.5366,38.569,6978.875
2026-07-10,37.88335513126492,37.8522,37.9066,6852.0
2026-07-11,37.62350787589499,37.5722,37.6368,6591.333333333333
2026-07-12,37.1442491646778,37.0662,37.1968,6717.958333333333
2026-07-13,34.51117494033413,34.324,34.7202,6878.916666666667
2026-07-14,34.70246443914081,34.5426,34.7584,6182.458333333333
2026-07-15,37.28812696897375,37.2305,37.3264,6666.541666666667
